,beta,delta,APImin,APImax,SMAPmin,SMAPmax
Daly,0.897567868232727,0.0059000104665756226,0.0016265054349787534,180.1089337158203,0.055763073340058325,0.33143935799598695
Gnangara,0.8386494517326355,0.022963911294937134,0.0027728151390329003,95.63979660034175,0.060516360215842724,0.3781149023771284
Robson,0.975346028804779,0.004755046218633652,18.08132684707642,364.570149230957,0.18135174736380577,0.5371988326311111
Temora,0.878661036491394,0.011203838512301445,0.10966531552374362,102.25452621459961,0.03207363128662109,0.48014100193977355
Tullochgorum,0.9185709953308105,0.054301708936691284,0.170874832123518,496.86138732910103,0.1123444426804781,0.5188149809837341
Weany,0.8080520629882812,0.000817582942545414,4.486904566874728e-05,107.18920402526848,0.026762855239212513,0.3281230181455612
Yanco,0.8668407797813416,0.014177165925502777,0.08581904463469983,136.63666259765625,0.04523682586848735,0.4626447558403015
Hamilton,0.9500463008880615,0.035444725304841995,0.3814282375574112,551.7953106689453,0.060128214284777645,0.5381971597671509
Bishes,0.8622738718986511,0.01695246808230877,0.09023918971419334,75.56137306213378,0.037242333963513376,0.34601949840784074
Bennets,0.8683664202690125,0.01581408642232418,0.1195410081744194,75.71148643493652,0.03728159997612238,0.35954242140054704
Bullawarrie,0.767274796962738,0.007669306825846434,0.0048463353700935845,58.589897727966296,0.04854326903820038,0.4417804563045502
Scotts Peak,0.9941933155059814,0.004792572930455208,79.95335113525391,1021.5697631835938,0.5086646807193757,0.6465756297111511
BSC conservatively grazed (C3),0.8307441473007202,0.007360999006778002,0.03858567092567683,83.83239585876458,0.0586807070672512,0.45615516662597666
Alice Mulga,0.6968894004821777,0.0016150815645232797,3.185268649535945e-11,50.34785263061521,0.022627774626016617,0.22449666261672974
BCS Brigalow Woodland (C1),0.8170933127403259,0.00736863911151886,0.03270268589258194,73.82779647827144,0.05444938749074936,0.4451351737976075
BCS Heavily Grazed (C5),0.8170933127403259,0.00736863911151886,0.03270268589258194,73.82779647827144,0.05444938749074936,0.4451351737976075
Borrowa,0.9257178902626038,0.007843168452382088,2.1130404043197633,172.64163177490232,0.03426810197532177,0.47798749804496765
Litchfield,0.961783766746521,0.003249848959967494,1.244413342475891,533.1926159667968,0.08289093345403671,0.4882371497154236
