,Daly,Gnangara,Robson,Temora,Tullochgorum,Weany,Yanco,Hamilton,Bishes,Bennets,Bullawarrie,Scotts Peak,BSC conservatively grazed (C3),Alice Mulga,BCS Brigalow Woodland (C1),BCS Heavily Grazed (C5),Borrowa,Litchfield
2020-01-01,-2.2074012756347656,-4.872781753540039,-2.3453145027160645,-8.772639274597168,-3.8134701251983643,-3.4409947395324707,-8.482478141784668,-4.322839736938477,-7.477909564971924,-7.401769161224365,-7.631682872772217,-3.140923023223877,-5.433465003967285,-8.157792091369629,-5.494391918182373,-5.494391918182373,-8.425311088562012,-1.49998939037323
2020-01-02,-2.0432145595550537,-5.07767391204834,-2.4086382389068604,-8.232337951660156,-4.425593852996826,-3.612905740737915,-8.122053146362305,-5.513884544372559,-7.747162342071533,-7.704984188079834,-7.612384796142578,-4.475090026855469,-5.267683982849121,-8.362650871276855,-5.325234413146973,-5.325234413146973,-7.812111854553223,-1.5203560590744019
2020-01-03,-2.0640180110931396,-5.259117126464844,-2.6912693977355957,-8.468456268310547,-4.725673198699951,-3.7809524536132812,-8.172370910644531,-4.654421806335449,-7.226646423339844,-7.185382843017578,-7.519193172454834,-4.011874198913574,-5.296157360076904,-7.935878276824951,-5.3611040115356445,-5.3611040115356445,-8.070932388305664,-1.4087679386138916
2020-01-04,-2.3017077445983887,-5.4253315925598145,-2.836933135986328,-7.819798469543457,-4.130985736846924,-4.193446636199951,-7.308096408843994,-4.0390305519104,-6.095882892608643,-6.035306453704834,-7.133591651916504,-4.1788740158081055,-5.316198825836182,-7.667356014251709,-5.357425212860107,-5.357425212860107,-7.389008045196533,-1.525468349456787
2020-01-05,-2.62611985206604,-5.444246292114258,-3.0727736949920654,-7.633517265319824,-4.49957799911499,-4.221993446350098,-7.201586723327637,-4.065726280212402,-6.434243679046631,-6.353814125061035,-6.674030780792236,-3.6411426067352295,-5.33152437210083,-7.478976249694824,-5.367358684539795,-5.367358684539795,-7.239758014678955,-1.6848317384719849
2020-01-06,-2.5111453533172607,-5.754576683044434,-2.7448434829711914,-8.026280403137207,-4.065013885498047,-4.114738941192627,-7.608060359954834,-4.030178546905518,-6.566315174102783,-6.489205837249756,-6.919247627258301,-3.3077337741851807,-5.495731353759766,-7.634515285491943,-5.5548624992370605,-5.5548624992370605,-7.574436664581299,-1.6249064207077026
2020-01-07,-2.595792293548584,-6.197319984436035,-2.9385337829589844,-7.832456588745117,-4.036170959472656,-4.451202392578125,-7.226415634155273,-3.7540650367736816,-5.981449127197266,-5.9121222496032715,-7.2903594970703125,-3.195496082305908,-5.951467037200928,-7.208115577697754,-6.003109931945801,-6.003109931945801,-7.480246067047119,-1.7765071392059326
2020-01-08,-2.2514514923095703,-5.570415019989014,-3.136220693588257,-6.705236434936523,-3.2452704906463623,-4.316988945007324,-6.295460224151611,-3.721548080444336,-6.049981117248535,-5.983678340911865,-7.450894832611084,-2.981297731399536,-5.783162593841553,-6.747093677520752,-5.825677394866943,-5.825677394866943,-6.344642162322998,-1.49158775806427
2020-01-09,-2.0373165607452393,-4.453400135040283,-2.9140028953552246,-7.127997875213623,-3.6549575328826904,-3.7146499156951904,-7.14378547668457,-5.1041669845581055,-6.990872859954834,-6.931591987609863,-7.108663558959961,-4.1723456382751465,-6.011598587036133,-7.026635646820068,-6.056192398071289,-6.056192398071289,-6.417091369628906,-1.5670273303985596
2020-01-10,-1.7571632862091064,-4.388845443725586,-2.7761430740356445,-8.296146392822266,-5.055184841156006,-3.681241750717163,-8.559255599975586,-7.518845558166504,-9.431946754455566,-9.369946479797363,-7.434401512145996,-5.695297718048096,-5.337649345397949,-7.527912139892578,-5.372425556182861,-5.372425556182861,-7.585723876953125,-1.28733229637146
2020-01-11,-1.9023685455322266,-5.2706522941589355,-2.499800205230713,-9.496418952941895,-5.970940589904785,-3.622563600540161,-9.432145118713379,-5.66135311126709,-8.96378231048584,-8.908153533935547,-7.930168151855469,-4.95524787902832,-5.733163833618164,-7.437570095062256,-5.784128189086914,-5.784128189086914,-9.077569961547852,-1.3901182413101196
2020-01-12,-2.0724780559539795,-4.735004901885986,-2.4499614238739014,-9.71324348449707,-4.991086959838867,-3.575521230697632,-9.119710922241211,-5.743333339691162,-8.03274917602539,-7.968292713165283,-8.288508415222168,-4.60963249206543,-6.081021785736084,-7.2804083824157715,-6.126823425292969,-6.126823425292969,-9.446456909179688,-1.4599149227142334
2020-01-13,-1.950754165649414,-4.762948513031006,-2.5436532497406006,-9.689136505126953,-5.322800159454346,-3.5810484886169434,-9.084939002990723,-6.640130043029785,-8.491665840148926,-8.445566177368164,-8.135470390319824,-5.311271667480469,-5.936860084533691,-7.351595878601074,-5.991973400115967,-5.991973400115967,-9.243557929992676,-1.2670098543167114
2020-01-14,-1.5571738481521606,-5.131034851074219,-2.5442075729370117,-9.586097717285156,-5.112845420837402,-3.809776544570923,-9.29540729522705,-5.41424036026001,-8.136667251586914,-8.084322929382324,-8.043789863586426,-4.600746154785156,-5.9044013023376465,-6.861809253692627,-5.95252799987793,-5.95252799987793,-8.906740188598633,-0.882453978061676
2020-01-15,-1.548256754875183,-5.477574348449707,-2.658454418182373,-9.841297149658203,-4.948858261108398,-3.900357961654663,-9.276841163635254,-5.389394283294678,-7.894573211669922,-7.8476457595825195,-7.694709300994873,-4.03000545501709,-5.62709903717041,-6.46378755569458,-5.6657185554504395,-5.6657185554504395,-9.298088073730469,-0.9847326278686523
2020-01-16,-1.7502909898757935,-5.939076900482178,-2.5352516174316406,-9.46008586883545,-4.897602558135986,-3.6982839107513428,-9.01701545715332,-5.2431745529174805,-7.723777770996094,-7.667593002319336,-7.961846828460693,-4.265605449676514,-6.006364345550537,-6.605614185333252,-6.07415246963501,-6.07415246963501,-8.82214641571045,-1.1030958890914917
2020-01-17,-1.928270697593689,-6.101994037628174,-2.56853985786438,-8.893835067749023,-4.872840881347656,-3.6982178688049316,-8.547438621520996,-4.851256370544434,-7.668724060058594,-7.590150356292725,-7.946929454803467,-4.024120330810547,-6.317638874053955,-6.508059501647949,-6.374417781829834,-6.374417781829834,-8.31706428527832,-1.3523482084274292
2020-01-18,-1.7499802112579346,-5.078516483306885,-2.5824787616729736,-8.606707572937012,-4.06168270111084,-3.8734793663024902,-8.028865814208984,-4.351749420166016,-7.078732967376709,-7.003981113433838,-8.141119956970215,-3.402512550354004,-6.295768737792969,-6.028708457946777,-6.341952800750732,-6.341952800750732,-8.352217674255371,-1.1008707284927368
2020-01-19,-1.792250156402588,-4.98873233795166,-2.9028148651123047,-9.302423477172852,-5.340653896331787,-4.286180019378662,-8.845582962036133,-7.0556640625,-8.892504692077637,-8.85272216796875,-8.336837768554688,-5.352579593658447,-6.013134479522705,-6.3542914390563965,-6.063811779022217,-6.063811779022217,-8.860509872436523,-1.1073124408721924
2020-01-20,-1.6683233976364136,-5.632033824920654,-2.827347993850708,-10.177497863769531,-5.666827201843262,-4.437470436096191,-9.914216995239258,-5.010934829711914,-8.2772855758667,-8.228475570678711,-8.668004035949707,-4.480885028839111,-6.220949172973633,-6.873992443084717,-6.27070951461792,-6.27070951461792,-9.749910354614258,-1.0861529111862183
2020-01-21,-1.6520378589630127,-5.474377155303955,-2.8254454135894775,-8.624110221862793,-3.9627647399902344,-4.270411014556885,-8.262859344482422,-4.325294494628906,-7.151439666748047,-7.1220269203186035,-8.234832763671875,-3.1130168437957764,-6.784377098083496,-6.574284553527832,-6.8416290283203125,-6.8416290283203125,-8.489444732666016,-1.0012028217315674
2020-01-22,-1.6272708177566528,-5.428073406219482,-2.712456226348877,-8.586997985839844,-4.622943878173828,-4.267975807189941,-8.200422286987305,-4.577332019805908,-7.076847076416016,-7.04443883895874,-8.287483215332031,-3.8672075271606445,-6.754313945770264,-6.900051593780518,-6.806168556213379,-6.806168556213379,-8.188416481018066,-0.9893568754196167
2020-01-23,-2.3952279090881348,-5.4678239822387695,-2.7800989151000977,-9.02741813659668,-4.824728965759277,-4.08090353012085,-8.628262519836426,-5.295633316040039,-7.7431511878967285,-7.691124439239502,-7.471308708190918,-4.26333475112915,-6.36810302734375,-7.304697513580322,-6.407633304595947,-6.407633304595947,-8.371238708496094,-1.5032814741134644
2020-01-24,-2.4839394092559814,-5.756584167480469,-2.734783172607422,-7.981574535369873,-4.499786853790283,-3.8530232906341553,-8.04990005493164,-4.8712897300720215,-7.498443126678467,-7.454966068267822,-7.959078311920166,-4.185575008392334,-5.950764179229736,-7.546762943267822,-5.990146160125732,-5.990146160125732,-7.4677252769470215,-1.4766345024108887
2020-01-25,-1.8059285879135132,-5.80234956741333,-2.8214423656463623,-8.120118141174316,-4.518087863922119,-3.741485118865967,-8.084467887878418,-5.567052364349365,-8.160846710205078,-8.098638534545898,-7.326091289520264,-4.548530101776123,-5.716241359710693,-7.722341537475586,-5.750915050506592,-5.750915050506592,-7.520293235778809,-1.0348803997039795
